State Name,Count
Uttar Pradesh,80
Maharashtra,48
West Bengal,42
Bihar,40
Tamil Nadu,39
Madhya Pradesh,29
Karnataka,28
Andhra Pradesh,25
Gujarat,25
Rajasthan,25
Odisha,21
Kerala,20
Telangana,17
Assam,14
Jharkhand,14
Punjab,13
Chhattisgarh,11
Haryana,10
NCT OF Delhi,7
Jammu and Kashmir,5
Uttarakhand,5
Himachal Pradesh,4
Tripura,2
Arunachal Pradesh,2
Meghalaya,2
Dadra & Nagar Haveli and Daman & Diu,2
Manipur,2
Goa,2
Nagaland,1
Puducherry,1
Mizoram,1
Sikkim,1
Chandigarh,1
Lakshadweep,1
Ladakh,1
Andaman & Nicobar Islands,1
